平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/选择语言(#5224),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择组件(#5225),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/配置磁盘(#5226),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/创建用户(#5227),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/ISO内容检查(#5228),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/制作启动盘(#5229),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安全启动测试(#5230),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局(#5231),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/安装选项(#5254),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/界面大小(#5255),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/界面背景(#5256),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/界面结构(#5257),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/返回上一步(#5258),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/安装阶段显示(#5259),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装界面布局/退出安装(#5260),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/语言选择(#5232),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/语言选择/语言选择(#5264),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/语言选择/隐私协议(#5265),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/键盘布局(#5233),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/键盘布局/自动探测(#5272),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/键盘布局/手动设置(#5273),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择时区(#5234),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择时区/默认时区(#5274),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择时区/地图定位时区(#5275),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择时区/列表选择时区(#5276),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/选择时区/时间设置(#5277),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/设置账户(#5235),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/设置账户/创建用户(#5278),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/设置账户/用户头像(#5279),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/设置账户/root密码(#5280),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/设置账户/字符输入与键盘布局(#5281),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区(#5236),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式(#5282),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/高级模式(#5285),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/全盘模式(#5286),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/全盘模式/全盘分区(#5287),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/全盘模式/全盘加密(#5288),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/全盘模式/全盘加密/加密入口(#5289),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/硬盘分区/安装模式/全盘模式/全盘加密/加密兼容(#5290),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
