"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"29480","深度安装器(#12)","/安装组件/最小安装(#5214)","","附加项全选","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 安装组件界面，点击最小安装，并勾选上右侧的所有附加项
2. 安装完成后，查验对应配置文件中的各组件及关联组件是否可正常安装

3. 注：core、base为虚拟包名可不关注，uninstall里包含的是需要卸载的组件","1. 可点击勾选所有附加选项
2. 勾选的组件和配置文件中的关联组件均可正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装
3.","1. 
2. 
3.","","1","功能测试","","正常","0","1","3","通过","苏珊珊","2019-09-26","刘文","2019-10-08","2","",""
"29479","深度安装器(#12)","/安装组件/最小安装(#5214)","","安全性工具","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击最小安装，展示出对应的附件选项，预览页面及操作列表

2. 复选框未被勾选时，点击勾选框

3. 复选框被勾选时，点击勾选框

4. 已勾选安全性工具组件，下一步至安装完成后，重启系统，后配置完成后

5. 查验对应配置文件中的各组件及关联组件是否可正常安装
勾选的组件和配置文件中的关联组件均已正常安装

6. 注：core、base为虚拟包名可不关注，uninstall里包含的是需要卸载的组件","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入用户登录界面
5. 校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l 各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装
6.","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","","正常","0","1","6","通过","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29478","深度安装器(#12)","/安装组件/最小安装(#5214)","","开发工具","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击最小安装，展示出对应的附件选项，预览页面及操作列表

2. 复选框未被勾选时，点击勾选框

3. 复选框被勾选时，点击勾选框

4. 已勾选开发工具组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装
6. 注：core、base为虚拟包名可不关注，uninstall里包含的是需要卸载的组件","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装
6.","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","","正常","0","1","6","通过","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29477","深度安装器(#12)","/安装组件/最小安装(#5214)","","调试工具","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击最小安装，展示出对应的附件选项，预览页面及操作列表
2. 复选框未被勾选时，点击勾选框
3. 复选框被勾选时，点击勾选框
4. 已勾选调试工具组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装
6. 注：core、base为虚拟包名可不关注，uninstall里包含的是需要卸载的组件","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装
6.","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","","正常","0","1","6","通过","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29476","深度安装器(#12)","/安装组件/最小安装(#5214)","","最小安装","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击最小安装，查看基础列表的页面布局
2. 在安装组件界面，点击最小安装，查看附加项列表的页面布局
3. 查看单选按钮的显示状态
4. 滚动及操作基本环境列表
5. 单选按钮已选中时，再次点击该按钮
6. 已选中最小化组件安装，未勾选其他附加项时，系统安装完成后，查验对应配置文件中的各组件及关联组件是否可正常安装
7. 注：core、base为虚拟包名可不关注，uninstall里包含的是需要卸载的组件","1. 页面布局展示正常，列表根据产品定义排序：显示在列表首位
2. 页面布局展示正常，列表根据产品定义排序（中文显示时，展示：调试工具、开发工具、安全性工具；英文显示时，按字母顺序排序）
3. 单选按钮显示被选中
4. 列表滚动平滑、无卡顿；点击其他基础组件时，对应的组件显示被命中，并且单选按钮不支持同时被选中
5. 不触发任何操作
6. 可正常进入用户登录界面，并且勾选的组件和配置文件中的关联组件均已正常安装
校验方法：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l 各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装
7.","1. 
2. 
3. 
4. 
5. 
6. 
7.","","1","功能测试","","正常","0","1","7","通过","苏珊珊","2019-09-26","刘文","2019-10-08","2","",""
"29474","深度安装器(#12)","/安装组件/开发及生产工作站(#5222)","","附加项全选","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 安装组件界面，点击开发及生成工作站，并勾选上右侧的所有附加项


2. 安装完成后，查验对应配置文件中的各组件及关联组件是否可正常安装","1. 可点击勾选所有附加选项
2. 可正常进入桌面用户登录界面，勾选的组件和配置文件中的关联组件均可正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -l 各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装","1. 
2. amanda-client（iu）安装仅解压缩
postfix （iF）安装配置失败
cyrus-imapd、libipathverbs1包未找到","","1","功能测试","","正常","0","1","2","失败","苏珊珊","2019-09-26","刘文","2019-10-08","2","",""
"29473","深度安装器(#12)","/安装组件/开发及生产工作站(#5222)","","安全性工具","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击开发及生成工作站，展示出对应的附件选项，预览页面及操作列表
2. 复选框未被勾选时，点击勾选框
3. 复选框被勾选时，点击勾选框
4. 已勾选安全性工具组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入桌面用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -s  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装","1. 
2. 
3. 
4. 
5.","","1","功能测试","","正常","0","0","5","","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29472","深度安装器(#12)","/安装组件/开发及生产工作站(#5222)","","Web服务器程序引擎","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击开发及生成工作站，展示出对应的附件选项，预览页面及操作列表
2. 复选框未被勾选时，点击勾选框
3. 复选框被勾选时，点击勾选框
4. 已勾选Web服务器程序引擎组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入桌面用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -s  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装","1. 
2. 
3. 
4. 
5.","","1","功能测试","","正常","0","0","5","","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29471","深度安装器(#12)","/安装组件/开发及生产工作站(#5222)","","虚拟化Hypervisor","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击开发及生成工作站，展示出对应的附件选项，预览页面及操作列表
2. 复选框未被勾选时，点击勾选框
3. 复选框被勾选时，点击勾选框
4. 已勾选虚拟化Hypervisor组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入桌面用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -s  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装","1. 
2. 
3. 
4. 
5.","","1","功能测试","","正常","0","0","5","","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
"29470","深度安装器(#12)","/安装组件/开发及生产工作站(#5222)","","科技写作","组件名称及关联组件的查询方式：
1.在/usr/share/deepin-installer/resources/packages_default.json中查询出对应的组件名称，该文件中包含了各组件的默认选项及选项菜单
2.根据packages_default.json里的选项名称在packages_choice.json文件中查询出对应的关联组件，即选中安装某个组件时，会安装所有的关联组件","1. 在安装组件界面，点击开发及生成工作站，展示出对应的附件选项，预览页面及操作列表
2. 复选框未被勾选时，点击勾选框
3. 复选框被勾选时，点击勾选框
4. 已勾选科技写作组件，下一步至安装完成后，重启系统，后配置完成后
5. 查验对应配置文件中的各组件及关联组件是否可正常安装","1. 页面布局展示正常；列表超出一屏显示时，列表支持上下滚动，并且滚动平滑无卡顿
2. 复选框显示被勾选状态
3. 复选框的勾选状态被取消
4. 系统可正常进入桌面用户登录界面
5. 勾选的组件和配置文件中的关联组件均已正常安装
校验方法一：
1.通过关键字installed在安装日志/var/log/deepin-installer.log里查询相关安装记录，如有打印“Some packages could not be installed..xxxx'“The following packages have unmet dependencies..xxxx” 相关信息时，说明有依赖包安装失败的情况，即校验失败；
2.无异常打印信息时，并已知各组件及依赖包名称（依赖包名称见附件），系统安装完成后，可通过dpkg -s  各包名 查询组件是否已安装，有返回信息说明组件安装成功，否者即组件未安装","1. 
2. 
3. 
4. 
5.","","1","功能测试","","正常","0","0","5","","苏珊珊","2019-09-26","刘文","2019-10-08","1","",""
